ds,y
2017-05-02,756.0000000
2017-05-03,749.5000000
2017-05-04,730.0000000
2017-05-05,747.0000000
2017-05-10,752.5000000
2017-05-11,762.0000000
2017-05-12,761.0000000
2017-05-15,769.0000000
2017-05-16,767.5000000
2017-05-17,785.0000000
2017-05-18,800.0000000
2017-05-19,798.5000000
2017-05-22,786.5000000
2017-05-23,781.5000000
2017-05-24,770.0000000
2017-05-25,758.5000000
2017-05-26,767.5000000
2017-05-29,769.5000000
2017-05-30,767.0000000
2017-05-31,742.5000000
2017-06-01,749.5000000
2017-06-02,731.0000000